Player,Inns,Runs,Overs,Conc,Wkts,Ct,St,Opposition,Ground,StartDate,Result
ARPatel,2,0,10,26,2,2,0,vWestIndies,Dharamsala,10/17/2014,yes
RAJadeja,1,0,8.2,27,2,0,0,vWestIndies,Perth,3/6/2015,yes
BKumar,2,0,9,27,2,0,0,vPakistan,Chennai,12/30/2012,yes
JJBumrah,1,0,8,28,2,0,0,vSouthAfrica,TheOval,6/11/2017,yes
RAJadeja,1,0,9,28,2,1,0,vZimbabwe,Bulawayo,8/1/2013,yes
AMishra,2,0,10,28,2,0,0,vPakistan,Dhaka,3/2/2014,yes
ISharma,1,0,7,29,2,0,0,vEngland,Ranchi,1/19/2013,yes
RAJadeja,1,0,8,30,2,0,0,vPakistan,Birmingham,6/15/2013,yes
MohammedShami,2,0,8,30,2,1,0,vSouthAfrica,Melbourne,2/22/2015,yes
ISharma,2,0,7,30,2,1,0,vWestIndies,PortofSpain,7/5/2013,yes
KuldeepYadav,1,0,10,31,2,0,0,vWestIndies,NorthSound,7/2/2017,yes
DSKulkarni,1,0,9,31,2,0,0,vZimbabwe,Harare,6/13/2016,yes
UTYadav,1,0,8,31,2,2,0,vNewZealand,Dharamsala,10/16/2016,yes
RAJadeja,2,0,9,31,2,1,0,vSouthAfrica,Cardiff,6/6/2013,yes
KuldeepYadav,2,0,8.4,31,2,1,0,vSriLanka,Colombo(RPS),8/31/2017,yes
BKumar,2,0,10,31,2,0,0,vPakistan,Delhi,1/6/2013,yes
MMSharma,2,0,7,31,2,0,0,vSouthAfrica,Melbourne,2/22/2015,yes
JJBumrah,2,0,7,32,2,0,0,vSriLanka,Colombo(RPS),8/31/2017,yes
MohammedShami,2,0,6,32,2,1,0,vEngland,Cardiff,8/27/2014,yes
HHPandya,2,0,6,32,2,2,0,vWestIndies,NorthSound,6/30/2017,yes
MMSharma,2,0,7,33,2,0,0,vZimbabwe,Harare,7/14/2015,yes
YuvrajSingh,1,0,6,34,2,0,0,vAustralia,Pune,10/13/2013,yes
DSKulkarni,2,0,8,34,2,1,0,vBangladesh,Dhaka,6/24/2015,yes
RAshwin,1,0,8,35,2,0,0,vPakistan,Birmingham,6/15/2013,yes
RAshwin,2,0,10,35,2,1,0,vBangladesh,Dhaka,6/24/2015,yes
HarbhajanSingh,2,0,10,35,2,0,0,vZimbabwe,Harare,7/14/2015,yes
MMSharma,2,0,9,35,2,0,0,vPakistan,Adelaide,2/15/2015,yes
ISharma,2,0,4,36,2,1,0,vEngland,Birmingham,6/23/2013,yes
MMSharma,2,0,10,36,2,0,0,vEngland,Perth,1/30/2015,yes
RAshwin,1,0,10,37,2,0,0,vEngland,Ranchi,1/19/2013,yes
BKumar,1,0,7,37,2,0,0,vBangladesh,Dhaka,6/18/2015,yes
RAshwin,2,0,10,37,2,0,0,vWestIndies,Visakhapatnam,11/24/2013,yes
MohammedShami,2,0,8,37,2,2,0,vBangladesh,Melbourne,3/19/2015,yes
RAshwin,1,0,10,38,2,0,0,vIreland,Hamilton,3/10/2015,yes
RAshwin,2,0,9.1,38,2,1,0,vEngland,Cardiff,8/27/2014,yes
UTYadav,2,0,8,38,2,0,0,vSriLanka,Kolkata,11/13/2014,yes
JJBumrah,1,0,10,39,2,1,0,vBangladesh,Birmingham,6/15/2017,yes
ARPatel,1,0,10,39,2,0,0,vSriLanka,Ahmedabad,11/6/2014,yes
ARPatel,2,0,6.4,39,2,0,0,vZimbabwe,Harare,7/14/2015,yes
JJBumrah,1,0,10,40,2,0,0,vAustralia,Sydney,1/23/2016,yes
RAJadeja,1,0,10,40,2,0,0,vEngland,Birmingham,9/2/2014,yes
ISharma,1,0,7,40,2,0,0,vPakistan,Birmingham,6/15/2013,yes
AMishra,2,0,10,40,2,0,0,vWestIndies,Delhi,10/11/2014,yes
ARPatel,2,0,10,41,2,1,0,vZimbabwe,Harare,7/10/2015,yes
RAshwin,1,0,10,42,2,2,0,vSriLanka,PortofSpain,7/11/2013,yes
RAshwin,1,0,9.5,42,2,1,0,vWestIndies,Kochi,11/21/2013,yes
DSKulkarni,1,0,10,42,2,0,0,vZimbabwe,Harare,6/11/2016,yes
AMishra,1,0,10,42,2,0,0,vNewZealand,Ranchi,10/26/2016,yes
BBSran,1,0,10,42,2,0,0,vZimbabwe,Harare,6/11/2016,yes
UTYadav,1,0,10,42,2,2,0,vWestIndies,Perth,3/6/2015,yes
RAshwin,2,0,10,42,2,1,0,vSriLanka,Fatullah,2/28/2014,yes
RAJadeja,2,0,8,42,2,0,0,vBangladesh,Melbourne,3/19/2015,yes
YSChahal,1,0,10,43,2,0,0,vSriLanka,Pallekele,8/24/2017,yes
RAJadeja,2,0,8,43,2,1,0,vPakistan,Birmingham,6/4/2017,yes
HHPandya,2,0,8,43,2,1,0,vPakistan,Birmingham,6/4/2017,yes
RAshwin,2,0,10,44,2,1,0,vWestIndies,Kingston,6/30/2013,yes
RAJadeja,2,0,7,44,2,0,0,vWestIndies,PortofSpain,7/5/2013,yes
UTYadav,2,0,9,44,2,0,0,vWestIndies,Dharamsala,10/17/2014,yes
RAshwin,1,0,10,45,2,1,0,vWestIndies,Kanpur,11/27/2013,yes
JJBumrah,1,0,10,45,2,0,0,vSriLanka,Colombo(RPS),9/3/2017,yes
ARPatel,1,0,10,45,2,1,0,vSriLanka,Ranchi,11/16/2014,yes
ISharma,1,0,8,45,2,0,0,vSriLanka,PortofSpain,7/11/2013,yes
AMishra,1,0,10,46,2,0,0,vNewZealand,Mohali,10/23/2016,yes
HHPandya,1,0,9,46,2,1,0,vEngland,Pune,1/15/2017,yes
AMishra,2,0,10,46,2,1,0,vZimbabwe,Harare,7/26/2013,yes
RAJadeja,1,0,10,47,2,1,0,vNewZealand,Auckland,1/25/2014,yes
AMishra,1,0,10,47,2,0,0,vSouthAfrica,Kanpur,10/11/2015,yes
ISharma,1,0,10,47,2,0,0,vEngland,Mohali,1/23/2013,yes
RAshwin,2,0,10,47,2,0,0,vPakistan,Delhi,1/6/2013,yes
RAshwin,1,0,10,49,2,0,0,vSriLanka,Ahmedabad,11/6/2014,yes
RAJadeja,2,0,10,49,2,0,0,vAustralia,Melbourne,1/17/2016,yes
BKumar,2,0,7,49,2,0,0,vSouthAfrica,Cardiff,6/6/2013,yes
MohammedShami,1,0,7.2,50,2,0,0,vAfghanistan,Dhaka,3/5/2014,yes
HarbhajanSingh,2,0,10,50,2,0,0,vSouthAfrica,Chennai,10/22/2015,yes
HHPandya,2,0,8,50,2,1,0,vSriLanka,Colombo(RPS),8/31/2017,yes
RVinayKumar,2,0,8.3,50,2,0,0,vAustralia,Mohali,10/19/2013,yes
UTYadav,2,0,10,50,2,2,0,vPakistan,Adelaide,2/15/2015,yes
RAshwin,2,0,10,51,2,0,0,vAustralia,Bengaluru,11/2/2013,yes
HarbhajanSingh,2,0,10,51,2,0,0,vSouthAfrica,Indore,10/14/2015,yes
ARPatel,2,0,7.1,51,2,1,0,vSriLanka,Kolkata,11/13/2014,yes
ISharma,2,0,9,51,2,1,0,vWestIndies,Kingston,6/30/2013,yes
JJBumrah,1,0,9.4,52,2,0,0,vNewZealand,Mohali,10/23/2016,yes
MohammedShami,1,0,10,52,2,0,0,vEngland,Leeds,9/5/2014,yes
RVinayKumar,1,0,8,52,2,0,0,vAustralia,Ranchi,10/23/2013,yes
ABDinda,1,0,8,53,2,1,0,vEngland,Rajkot,1/11/2013,yes
BKumar,1,0,10,53,2,0,0,vBangladesh,Birmingham,6/15/2017,yes
ISharma,2,0,10,53,2,0,0,vAustralia,Melbourne,1/17/2016,yes
UTYadav,1,0,10,54,2,0,0,vSriLanka,Ahmedabad,11/6/2014,yes
STRBinny,2,0,10,54,2,1,0,vZimbabwe,Harare,7/10/2015,yes
RAshwin,1,0,10,55,2,0,0,vAustralia,Pune,10/13/2013,yes
AMishra,1,0,10,55,2,0,0,vBangladesh,Dhaka,6/15/2014,yes
STRBinny,2,0,8,55,2,0,0,vSriLanka,Kolkata,11/13/2014,yes
MohammedShami,2,0,7,55,2,0,0,vWestIndies,Visakhapatnam,11/24/2013,yes
UTYadav,2,0,10,55,2,0,0,vAustralia,Melbourne,1/18/2015,yes
RAshwin,1,0,10,56,2,0,0,vSriLanka,Ranchi,11/16/2014,yes
BKumar,2,0,9,56,2,1,0,vWestIndies,Visakhapatnam,11/24/2013,yes
BKumar,2,0,10,56,2,1,0,vPakistan,Dhaka,3/2/2014,yes
RAshwin,1,0,9,57,2,0,0,vAustralia,Ranchi,10/23/2013,yes
UTYadav,1,0,8,58,2,0,0,vBangladesh,Dhaka,6/18/2015,yes
VRAaron,1,0,10,60,2,0,0,vNewZealand,Wellington,1/31/2014,yes
YSChahal,1,0,10,60,2,0,0,vSriLanka,Dambulla,8/20/2017,yes
ParvezRasool,1,0,10,60,2,0,0,vBangladesh,Dhaka,6/15/2014,yes
ISharma,1,0,10,60,2,1,0,vAustralia,Sydney,1/23/2016,yes
RAJadeja,1,0,10,62,2,2,0,vEngland,Kolkata,1/22/2017,yes
MMSharma,1,0,9,62,2,0,0,vSouthAfrica,Rajkot,10/18/2015,yes
RAshwin,1,0,10,63,2,0,0,vEngland,Mohali,1/23/2013,yes
RAshwin,1,0,10,64,2,0,0,vAustralia,Nagpur,10/30/2013,yes
ISharma,2,0,8,66,2,0,0,vSouthAfrica,Cardiff,6/6/2013,yes
