Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,StartDate,Result
SDhawan,1,0,3,0,0,33.33,2,vNewZealand,Nagpur,15/03/16,no
SKRaina,1,0,2,0,0,50,2,vNewZealand,Nagpur,15/03/16,no
HHPandya,1,0,7,0,0,14.28,2,vNewZealand,Nagpur,15/03/16,no
RAJadeja,0,3,0,0,0,0,2,vEngland,Pune,20/12/12,no
BKumar,0,1,1,0,0,0,1,vAustralia,Dhaka,30/03/14,no
MSDhoni,0,3,1,0,0,0,2,vSouthAfrica,Dhaka,4/4/2014,no
MMSharma,0,9,4,0,0,0,1,vSouthAfrica,Cuttack,5/10/2015,no
SKRaina,0,1,0,0,0,0,1,vAustralia,Melbourne,29/01/16,no
RAJadeja,0,1,0,0,0,0,1,vBangladesh,Dhaka,24/02/16,no
JJBumrah,0,0,2,0,0,0,2,vNewZealand,Nagpur,15/03/16,no
JJBumrah,0,2,0,0,0,0,1,vEngland,Kanpur,26/01/17,no
JJBumrah,0,1,0,0,0,0,1,vEngland,Nagpur,29/01/17,no
GGambhir,0,2,2,0,0,0,2,vPakistan,Colombo(RPS),30/09/12,no
PPChawla,0,3,1,0,0,0,1,vEngland,Mumbai,22/12/12,no
ISharma,0,1,1,0,0,0,1,vPakistan,Bengaluru,25/12/12,no
SDhawan,0,10,3,0,0,0,2,vWestIndies,Dhaka,23/03/14,no
MKPandey,0,0,3,0,0,0,2,vZimbabwe,Harare,19/07/15,no
ATRayudu,0,1,1,0,0,0,1,vSouthAfrica,Dharamsala,2/10/2015,no
ATRayudu,0,4,2,0,0,0,1,vSouthAfrica,Cuttack,5/10/2015,no
HarbhajanSingh,0,1,1,0,0,0,1,vSouthAfrica,Cuttack,5/10/2015,no
BKumar,0,1,2,0,0,0,1,vSouthAfrica,Cuttack,5/10/2015,no
RGSharma,0,2,2,0,0,0,1,vSriLanka,Pune,9/2/2016,no
JJBumrah,0,1,0,0,0,0,1,vSriLanka,Pune,9/2/2016,no
YuvrajSingh,0,0,1,0,0,0,1,vSriLanka,Ranchi,12/2/2016,no
RGSharma,0,2,2,0,0,0,2,vPakistan,Dhaka,27/02/16,no
AMRahane,0,5,1,0,0,0,2,vPakistan,Dhaka,27/02/16,no
HHPandya,0,1,2,0,0,0,2,vPakistan,Dhaka,27/02/16,no
RAJadeja,0,0,3,0,0,0,2,vNewZealand,Nagpur,15/03/16,no
ANehra,0,0,4,0,0,0,2,vNewZealand,Nagpur,15/03/16,no
SKRaina,0,1,1,0,0,0,2,vPakistan,Kolkata,19/03/16,no
KLRahul,0,0,1,0,0,0,2,vZimbabwe,Harare,18/06/16,no
MKPandey,0,2,1,0,0,0,1,vZimbabwe,Harare,22/06/16,no
AMishra,0,2,0,0,0,0,1,vEngland,Nagpur,29/01/17,no
IKPathan,0,0,0,0,0,0,1,vAfghanistan,Colombo(RPS),19/09/12,no
ZKhan,0,0,0,0,0,0,1,vAfghanistan,Colombo(RPS),19/09/12,no
RAshwin,0,0,0,0,0,0,1,vAfghanistan,Colombo(RPS),19/09/12,no
LBalaji,0,0,0,0,0,0,1,vAfghanistan,Colombo(RPS),19/09/12,no
HarbhajanSingh,0,0,0,0,0,0,1,vEngland,Colombo(RPS),23/09/12,no
PPChawla,0,0,0,0,0,0,1,vEngland,Colombo(RPS),23/09/12,no
YuvrajSingh,0,0,0,0,0,0,1,vEngland,Colombo(RPS),23/09/12,no
ABDinda,0,0,0,0,0,0,1,vEngland,Colombo(RPS),23/09/12,no
LBalaji,0,0,0,0,0,0,1,vEngland,Colombo(RPS),23/09/12,no
ZKhan,0,0,0,0,0,0,1,vAustralia,Colombo(RPS),28/09/12,no
PPChawla,0,0,0,0,0,0,1,vAustralia,Colombo(RPS),28/09/12,no
LBalaji,0,0,0,0,0,0,2,vPakistan,Colombo(RPS),30/09/12,no
MSDhoni,0,0,0,0,0,0,2,vPakistan,Colombo(RPS),30/09/12,no
IKPathan,0,0,0,0,0,0,2,vPakistan,Colombo(RPS),30/09/12,no
ZKhan,0,0,0,0,0,0,2,vPakistan,Colombo(RPS),30/09/12,no
RAshwin,0,0,0,0,0,0,2,vPakistan,Colombo(RPS),30/09/12,no
SKRaina,0,0,0,0,0,0,2,vPakistan,Colombo(RPS),30/09/12,no
RGSharma,0,0,0,0,0,0,2,vPakistan,Colombo(RPS),30/09/12,no
LBalaji,0,0,0,0,0,0,1,vSouthAfrica,Colombo(RPS),2/10/2012,no
IKPathan,0,0,0,0,0,0,1,vSouthAfrica,Colombo(RPS),2/10/2012,no
ZKhan,0,0,0,0,0,0,1,vSouthAfrica,Colombo(RPS),2/10/2012,no
RAshwin,0,0,0,0,0,0,1,vSouthAfrica,Colombo(RPS),2/10/2012,no
PAwana,0,0,0,0,0,0,2,vEngland,Pune,20/12/12,no
PPChawla,0,0,0,0,0,0,2,vEngland,Pune,20/12/12,no
ABDinda,0,0,0,0,0,0,2,vEngland,Pune,20/12/12,no
RAshwin,0,0,0,0,0,0,2,vEngland,Pune,20/12/12,no
PAwana,0,0,0,0,0,0,1,vEngland,Mumbai,22/12/12,no
ABDinda,0,0,0,0,0,0,1,vEngland,Mumbai,22/12/12,no
RAshwin,0,0,0,0,0,0,1,vPakistan,Ahmedabad,28/12/12,no
BKumar,0,0,0,0,0,0,1,vPakistan,Ahmedabad,28/12/12,no
ABDinda,0,0,0,0,0,0,1,vPakistan,Ahmedabad,28/12/12,no
ISharma,0,0,0,0,0,0,1,vPakistan,Ahmedabad,28/12/12,no
ISharma,0,0,0,0,0,0,2,vAustralia,Rajkot,10/10/2013,no
RAshwin,0,0,0,0,0,0,2,vAustralia,Rajkot,10/10/2013,no
BKumar,0,0,0,0,0,0,2,vAustralia,Rajkot,10/10/2013,no
RAJadeja,0,0,0,0,0,0,2,vAustralia,Rajkot,10/10/2013,no
RVinayKumar,0,0,0,0,0,0,2,vAustralia,Rajkot,10/10/2013,no
AMishra,0,0,0,0,0,0,2,vPakistan,Dhaka,21/03/14,no
RAshwin,0,0,0,0,0,0,2,vPakistan,Dhaka,21/03/14,no
BKumar,0,0,0,0,0,0,2,vPakistan,Dhaka,21/03/14,no
MohammedShami,0,0,0,0,0,0,2,vPakistan,Dhaka,21/03/14,no
MSDhoni,0,0,0,0,0,0,2,vPakistan,Dhaka,21/03/14,no
RAJadeja,0,0,0,0,0,0,2,vPakistan,Dhaka,21/03/14,no
RAJadeja,0,0,0,0,0,0,2,vWestIndies,Dhaka,23/03/14,no
AMishra,0,0,0,0,0,0,2,vWestIndies,Dhaka,23/03/14,no
RAshwin,0,0,0,0,0,0,2,vWestIndies,Dhaka,23/03/14,no
BKumar,0,0,0,0,0,0,2,vWestIndies,Dhaka,23/03/14,no
MohammedShami,0,0,0,0,0,0,2,vWestIndies,Dhaka,23/03/14,no
MSDhoni,0,0,0,0,0,0,2,vWestIndies,Dhaka,23/03/14,no
RAJadeja,0,0,0,0,0,0,2,vBangladesh,Dhaka,28/03/14,no
AMishra,0,0,0,0,0,0,2,vBangladesh,Dhaka,28/03/14,no
RAshwin,0,0,0,0,0,0,2,vBangladesh,Dhaka,28/03/14,no
BKumar,0,0,0,0,0,0,2,vBangladesh,Dhaka,28/03/14,no
